#-------------------[ sysman status ] -----------------------#

NAME           STATE
audio3client   enabled
audio3server   enabled
broker         enabled
c4lookup       enabled
c4metricsd     enabled
c4rmengined    enabled
cerebellum     enabled
control4-osd   enabled
director       enabled
edid-capture   enabled
freeswitch     enabled
imageservice   enabled
launchdarkly-microservice enabled
login-auditd   enabled
luma-bridge    disabled
mosquitto      enabled
mosquitto-jwt-auth enabled
nginx          enabled
nmbd           enabled
openvpn        disabled
ovrc-hub-fob   enabled
raproxyd       enabled
sddpd          enabled
shaird         enabled
smbd           enabled
spotifyd       enabled
stunserver     disabled
uic-gms        enabled
uic-image-provider enabled
uic-mqtt       enabled
uic-nal        enabled
uic-upvl       enabled
uicmmd         enabled
video-security-ms disabled
voiced         enabled
zap            enabled
zpc            enabled
zserver2       enabled
zserver3       disabled
OK
