#-------------------[ systemctl --all -l ] -----------------------#

  UNIT                                                                                                              LOAD      ACTIVE   SUB       DESCRIPTION
  dev-disk-by\x2ddiskseq-10.device                                                                                  loaded    active   plugged   /dev/disk/by-diskseq/10
  dev-disk-by\x2ddiskseq-10\x2dpart1.device                                                                         loaded    active   plugged   /dev/disk/by-diskseq/10-part1
  dev-disk-by\x2ddiskseq-10\x2dpart2.device                                                                         loaded    active   plugged   /dev/disk/by-diskseq/10-part2
  dev-disk-by\x2ddiskseq-10\x2dpart3.device                                                                         loaded    active   plugged   /dev/disk/by-diskseq/10-part3
  dev-disk-by\x2ddiskseq-11.device                                                                                  loaded    active   plugged   /dev/disk/by-diskseq/11
  dev-disk-by\x2ddiskseq-12.device                                                                                  loaded    active   plugged   /dev/disk/by-diskseq/12
  dev-disk-by\x2did-mmc\x2dDA6032_0x58518935.device                                                                 loaded    active   plugged   /dev/disk/by-id/mmc-DA6032_0x58518935
  dev-disk-by\x2did-mmc\x2dDA6032_0x58518935\x2dpart1.device                                                        loaded    active   plugged   /dev/disk/by-id/mmc-DA6032_0x58518935-part1
  dev-disk-by\x2did-mmc\x2dDA6032_0x58518935\x2dpart2.device                                                        loaded    active   plugged   /dev/disk/by-id/mmc-DA6032_0x58518935-part2
  dev-disk-by\x2did-mmc\x2dDA6032_0x58518935\x2dpart3.device                                                        loaded    active   plugged   /dev/disk/by-id/mmc-DA6032_0x58518935-part3
  dev-disk-by\x2dlabel-boot.device                                                                                  loaded    active   plugged   /dev/disk/by-label/boot
  dev-disk-by\x2dlabel-recovery.device                                                                              loaded    active   plugged   /dev/disk/by-label/recovery
  dev-disk-by\x2dlabel-root.device                                                                                  loaded    active   plugged   /dev/disk/by-label/root
  dev-disk-by\x2dpartuuid-fb051dc3\x2d01.device                                                                     loaded    active   plugged   /dev/disk/by-partuuid/fb051dc3-01
  dev-disk-by\x2dpartuuid-fb051dc3\x2d02.device                                                                     loaded    active   plugged   /dev/disk/by-partuuid/fb051dc3-02
  dev-disk-by\x2dpartuuid-fb051dc3\x2d03.device                                                                     loaded    active   plugged   /dev/disk/by-partuuid/fb051dc3-03
  dev-disk-by\x2dpath-platform\x2d30b40000.mmc.device                                                               loaded    active   plugged   /dev/disk/by-path/platform-30b40000.mmc
  dev-disk-by\x2dpath-platform\x2d30b40000.mmc\x2dboot0.device                                                      loaded    active   plugged   /dev/disk/by-path/platform-30b40000.mmc-boot0
  dev-disk-by\x2dpath-platform\x2d30b40000.mmc\x2dboot1.device                                                      loaded    active   plugged   /dev/disk/by-path/platform-30b40000.mmc-boot1
  dev-disk-by\x2dpath-platform\x2d30b40000.mmc\x2dpart1.device                                                      loaded    active   plugged   /dev/disk/by-path/platform-30b40000.mmc-part1
  dev-disk-by\x2dpath-platform\x2d30b40000.mmc\x2dpart2.device                                                      loaded    active   plugged   /dev/disk/by-path/platform-30b40000.mmc-part2
  dev-disk-by\x2dpath-platform\x2d30b40000.mmc\x2dpart3.device                                                      loaded    active   plugged   /dev/disk/by-path/platform-30b40000.mmc-part3
  dev-disk-by\x2duuid-414af75f\x2da343\x2d4888\x2d9e83\x2d76f06ffff55f.device                                       loaded    active   plugged   /dev/disk/by-uuid/414af75f-a343-4888-9e83-76f06ffff55f
  dev-disk-by\x2duuid-50e09de7\x2d6768\x2d474f\x2d942f\x2d20cfa62d1606.device                                       loaded    active   plugged   /dev/disk/by-uuid/50e09de7-6768-474f-942f-20cfa62d1606
