#-------------------[ systemctl list-unit-files ] -----------------------#

UNIT FILE                              STATE           PRESET
-.mount                                generated       -
boot.mount                             generated       -
dev-hugepages.mount                    static          -
dev-mqueue.mount                       static          -
sys-fs-fuse-connections.mount          static          -
sys-kernel-config.mount                static          -
sys-kernel-debug.mount                 static          -
sys-kernel-tracing.mount               static          -
tmp.mount                              static          -
var-volatile.mount                     generated       -
audio3drm-flatpak-change.path          enabled         disabled
flatpak-app@.path                      disabled        disabled
flatpak-change.path                    enabled         enabled
flatpak-upgrade@.path                  disabled        disabled
ostree-finalize-staged.path            enabled         enabled
systemd-ask-password-console.path      static          -
systemd-ask-password-wall.path         static          -
upload-flatpak-list.path               enabled         enabled
session-c1.scope                       transient       -
session-c2.scope                       transient       -
alsa-restore.service                   static          -
alsa-state.service                     static          -
appled.service                         enabled         enabled
atftpd.service                         enabled         enabled
audio3drm-flatpak-change.service       enabled         disabled
autovt@.service                        alias           -
banner.service                         masked          disabled
bootlogd.service                       generated       -
bootmisc.service                       masked          disabled
c4gpio.service                         enabled         enabled
c4led.service                          enabled         enabled
c4os-offline-update.service            static          -
c4server.service                       enabled         enabled
check_client_pem.service               enabled         enabled
checkfs.service                        masked          disabled
checkroot.service                      masked          disabled
console-getty.service                  disabled        disabled
container-getty@.service               static          -
countrycode@.service                   disabled        disabled
crond.service                          enabled         enabled
dbus-1.service                         masked          disabled
dbus-org.freedesktop.hostname1.service alias           -
dbus-org.freedesktop.locale1.service   alias           -
dbus-org.freedesktop.login1.service    alias           -
dbus-org.freedesktop.network1.service  alias           -
dbus-org.freedesktop.resolve1.service  alias           -
dbus-org.freedesktop.timedate1.service alias           -
dbus.service                           static          -
debug-shell.service                    disabled        disabled
devpts.service                         masked          disabled
dhclient.service                       disabled        disabled
director-init-script.service           enabled         enabled
dlt-adaptor-udp.service                disabled        disabled
dlt-example-user.service               static          -
dlt-receive.service                    static          -
dlt-system.service                     enabled         enabled
dlt.service                            enabled         enabled
dmesg.service                          masked          disabled
emergency.service                      static          -
fancontrol.service                     disabled        disabled
fixup_director_directories.service     disabled        enabled
fixup_driver_directories.service       generated       -
flatpak-app@.service                   disabled        disabled
