#-------------------[ top -b -n 1 ] -----------------------#

top - 15:33:40 up 144 days,  4:57,  1 user,  load average: 0.51, 0.44, 0.46
Tasks: 204 total,   1 running, 203 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11.1 us, 22.2 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3910.6 total,    440.9 free,   2946.0 used,    918.3 buff/cache     
MiB Swap:   2048.0 total,   1590.0 free,    458.0 used.    964.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1284 root      20   0  792780 571236  50092 S  17.6  14.3     4w+4d director
2732513 root      20   0   10024   4580   2668 R  11.8   0.1   0:00.04 top
 959342 root      20   0 5139572  66968  19060 S   5.9   1.7 147:32.60 node
      1 root      20   0  166728  10824   6276 S   0.0   0.3 183:11.99 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:19.75 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0  53:07.48 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0 158:09.61 rcu_pre+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:05.75 migrati+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     18 root      rt   0       0      0      0 S   0.0   0.0   0:02.97 migrati+
     19 root      20   0       0      0      0 S   0.0   0.0  51:55.94 ksoftir+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     23 root      rt   0       0      0      0 S   0.0   0.0   0:02.85 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0  48:51.31 ksoftir+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     28 root      rt   0       0      0      0 S   0.0   0.0   0:02.84 migrati+
     29 root      20   0       0      0      0 S   0.0   0.0  46:38.92 ksoftir+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     38 root      20   0       0      0      0 S   0.0   0.0   3:48.64 kcompac+
     39 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     40 root      39  19       0      0      0 S   0.0   0.0   3:26.83 khugepa+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
     48 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
     54 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
     55 root      20   0       0      0      0 S   0.0   0.0   0:34.77 kswapd0
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfsiod
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cifsiod
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 smb3dec+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cifsfil+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cifsopl+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 deferre+
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 sdhci
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/22-+
     72 root      20   0       0      0      0 S   0.0   0.0   0:00.00 3090200+
     73 root      20   0       0      0      0 S   0.0   0.0   0:03.75 hwrng
     74 root      20   0       0      0      0 S   0.0   0.0   0:00.00 3090300+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dsa_ord+
    203 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mmc_com+
